family_id,domain,valence,field,old_value,new_value
ENV-NMB-01,Environment,NMB,affected_entity,nearby residents downwind of the plant,employees working in the plant's administrative office
ENV-NMB-01,Environment,NMB,outcome_verb,change the air's odor near the plant,change the color scheme of the plant office's break room
ENV-NMB-01,Environment,NMB,low_evocative_outcome,a subsequent resident survey found that the air's ambient odor near the plant had changed noticeably,a subsequent staff survey found employees rated the new break room color scheme as noticeably less appealing than the previous one
ENV-NMB-01,Environment,NMB,high_evocative_outcome,residents downwind of the plant said the air now carried a faint unfamiliar odor on humid days that hadn't been present before,several employees said the new break room paint colors looked drab and outdated compared to before
ENV-NMG-01,Environment,NMG,affected_entity,nearby residents downwind of the plant,employees working in the plant's administrative office
ENV-NMG-01,Environment,NMG,outcome_verb,change the air's odor near the plant,change the color scheme of the plant office's break room
ENV-NMG-01,Environment,NMG,low_evocative_outcome,a subsequent resident survey found that the air's ambient odor near the plant had changed noticeably,a subsequent staff survey found employees rated the new break room color scheme as noticeably more appealing than the previous one
ENV-NMG-01,Environment,NMG,high_evocative_outcome,residents downwind of the plant said the air now carried a faint floral-like scent on humid days that hadn't been present before,several employees said the new break room paint colors made the space feel brighter and more welcoming than before
ENV-NMB-02,Environment,NMB,affected_entity,field crews maintaining the vegetation schedule,field crew supervisors filing vegetation-schedule completion reports
ENV-NMB-02,Environment,NMB,outcome_verb,increase field crews' workload,change the internal reporting form used to log vegetation-schedule completion
ENV-NMB-02,Environment,NMB,low_evocative_outcome,a follow-up operations review found that the vegetation schedule required more staff time than expected,a follow-up operations review found the new reporting form took supervisors noticeably longer to fill out each week than the previous form
ENV-NMB-02,Environment,NMB,high_evocative_outcome,a follow-up operations review found that field crews had to spend many more hours maintaining the vegetation schedule increasing routine labor demands throughout the season,several supervisors said the new form's extra fields turned a two-minute task into a fifteen-minute one every week
ENV-NMB-03,Environment,NMB,affected_entity,nearby residents downwind of the plant,employees working in the plant's administrative office
ENV-NMB-03,Environment,NMB,outcome_verb,change the air's odor near the plant,change the layout of the plant office's parking area signage
ENV-NMB-03,Environment,NMB,low_evocative_outcome,a subsequent resident survey found that the air's ambient odor near the plant had grown more noticeable than before,a subsequent staff survey found employees rated the new parking signage as noticeably more confusing than the previous layout
ENV-NMB-03,Environment,NMB,high_evocative_outcome,residents downwind of the plant said the air now carried a faint unfamiliar odor on humid days that hadn't been present before,several employees said they now had to circle the lot twice most mornings to find their assigned space
ENV-NMG-03,Environment,NMG,affected_entity,nearby residents downwind of the plant,employees working in the plant's administrative office
ENV-NMG-03,Environment,NMG,outcome_verb,change the air's odor near the plant,change the layout of the plant office's parking area signage
ENV-NMG-03,Environment,NMG,low_evocative_outcome,a subsequent resident survey found that the air's ambient odor near the plant had grown less noticeable than before,a subsequent staff survey found employees rated the new parking signage as noticeably clearer than the previous layout
ENV-NMG-03,Environment,NMG,high_evocative_outcome,residents downwind of the plant said the air now carried a faint floral-like scent on humid days that hadn't been present before,several employees said they could now find their assigned space without circling the lot
FIN-NMB-01,Finance,NMB,affected_entity,borrowers receiving their loan welcome packet,loan-processing staff filing borrower paperwork
FIN-NMB-01,Finance,NMB,outcome_verb,change the loan welcome packet's cover design,change the internal file-naming convention used for loan paperwork
FIN-NMB-01,Finance,NMB,low_evocative_outcome,a subsequent customer survey found borrowers rated the new welcome packet's cover as noticeably less appealing than the previous one,a subsequent internal review found the new file-naming convention took loan-processing staff noticeably longer to search than the previous one
FIN-NMB-01,Finance,NMB,high_evocative_outcome,several borrowers said the new packet's cover looked plain and generic compared to the branding they were used to,several staff said finding a specific borrower's file now took several extra minutes each time under the new naming convention
FIN-NMG-01,Finance,NMG,affected_entity,borrowers receiving their loan welcome packet,loan-processing staff filing borrower paperwork
FIN-NMG-01,Finance,NMG,outcome_verb,change the loan welcome packet's cover design,change the internal file-naming convention used for loan paperwork
FIN-NMG-01,Finance,NMG,low_evocative_outcome,a subsequent customer survey found borrowers rated the new welcome packet's cover as noticeably more appealing than the previous one,a subsequent internal review found the new file-naming convention was noticeably faster for loan-processing staff to search than the previous one
FIN-NMG-01,Finance,NMG,high_evocative_outcome,several borrowers said the new packet's cover looked more polished and professional compared to the branding they were used to,several staff said finding a specific borrower's file now took only seconds under the new naming convention
FIN-NMB-02,Finance,NMB,affected_entity,policyholders checking their claim status online,claims staff using the internal case-management dashboard
FIN-NMB-02,Finance,NMB,outcome_verb,change how claim status updates are displayed on the online portal,change how case age is displayed on the internal case-management dashboard
FIN-NMB-02,Finance,NMB,low_evocative_outcome,a subsequent user survey found policyholders rated the new claim-status portal as noticeably more confusing than the previous version,a subsequent internal review found claims staff rated the new dashboard display as noticeably more confusing than the previous one
FIN-NMB-02,Finance,NMB,high_evocative_outcome,several policyholders said the new portal buried the claim status behind three extra clicks that weren't there before,several staff said they had to open a case twice to find information that used to be visible at a glance
FOOD-NMB-01,Food Quality,NMB,affected_entity,customers browsing the product on store shelves,lab technicians logging test results in the internal database
FOOD-NMB-01,Food Quality,NMB,outcome_verb,change the product packaging's design,change the internal database's results-entry form layout
FOOD-NMB-01,Food Quality,NMB,low_evocative_outcome,a subsequent customer survey found shoppers rated the new packaging design as noticeably less appealing than the previous one,a subsequent internal review found lab technicians rated the new results-entry form as noticeably slower to use than the previous one
FOOD-NMB-01,Food Quality,NMB,high_evocative_outcome,several customers in an online forum said the new packaging's color scheme looked cheap next to competitors on the shelf,several technicians said entering a batch's results now took an extra several minutes per form
FOOD-NMG-01,Food Quality,NMG,affected_entity,customers browsing the product on store shelves,lab technicians logging test results in the internal database
FOOD-NMG-01,Food Quality,NMG,outcome_verb,change the product packaging's design,change the internal database's results-entry form layout
FOOD-NMG-01,Food Quality,NMG,low_evocative_outcome,a subsequent customer survey found shoppers rated the new packaging design as noticeably more appealing than the previous one,a subsequent internal review found lab technicians rated the new results-entry form as noticeably faster to use than the previous one
FOOD-NMG-01,Food Quality,NMG,high_evocative_outcome,several customers in an online forum said the new packaging's color scheme looked more premium next to competitors on the shelf,several technicians said entering a batch's results now took only a fraction of the time
FOOD-NMG-02,Food Quality,NMG,affected_entity,customers dining in the restaurant's seating area,kitchen staff using the back-of-house shift-schedule board
FOOD-NMG-02,Food Quality,NMG,outcome_verb,change the dining area's decor,change the layout of the kitchen's staff shift-schedule board
