question,score,family,arm,sign,n,mean,sd
q_blame,ev,gemma,moral,good,350,7.0531,0.5693
q_blame,ev,gemma,moral,bad,975,7.6503,0.7387
q_blame,ev,gemma,nonmoral_pooled,good,1775,4.2756,1.1151
q_blame,ev,gemma,nonmoral_pooled,bad,1800,7.5009,0.7081
q_blame,ev,llama,moral,good,350,6.5566,1.3864
q_blame,ev,llama,moral,bad,975,8.3687,0.5707
q_blame,ev,llama,nonmoral_pooled,good,1775,3.9769,1.3621
q_blame,ev,llama,nonmoral_pooled,bad,1800,7.5032,0.6025
q_blame,ev,mistral,moral,good,350,6.8027,0.8356
q_blame,ev,mistral,moral,bad,975,7.5983,0.203
q_blame,ev,mistral,nonmoral_pooled,good,1775,4.6424,1.3416
q_blame,ev,mistral,nonmoral_pooled,bad,1800,7.4172,0.2016
q_blame,parsed,gemma,moral,good,136,7.1029,2.1918
q_blame,parsed,gemma,moral,bad,578,8.917,1.4361
q_blame,parsed,gemma,nonmoral_pooled,good,763,2.0865,2.3723
q_blame,parsed,gemma,nonmoral_pooled,bad,1119,7.7105,1.7103
q_blame,parsed,llama,moral,good,277,6.9242,3.3726
q_blame,parsed,llama,moral,bad,719,8.5299,2.6586
q_blame,parsed,llama,nonmoral_pooled,good,1464,2.6578,3.4641
q_blame,parsed,llama,nonmoral_pooled,bad,1328,7.3893,2.9392
q_blame,parsed,mistral,moral,good,345,6.9971,2.2471
q_blame,parsed,mistral,moral,bad,957,8.4765,0.9587
q_blame,parsed,mistral,nonmoral_pooled,good,1751,4.0685,2.7112
q_blame,parsed,mistral,nonmoral_pooled,bad,1761,7.8103,1.1243
q_praise,ev,gemma,moral,good,350,2.668,1.7985
q_praise,ev,gemma,moral,bad,975,0.4808,0.688
q_praise,ev,gemma,nonmoral_pooled,good,1775,4.663,1.3598
q_praise,ev,gemma,nonmoral_pooled,bad,1800,1.0376,0.9483
q_praise,ev,llama,moral,good,350,1.5397,1.0457
q_praise,ev,llama,moral,bad,975,0.2997,0.2926
q_praise,ev,llama,nonmoral_pooled,good,1775,3.6062,1.72
q_praise,ev,llama,nonmoral_pooled,bad,1800,0.771,0.8289
q_praise,ev,mistral,moral,good,350,4.6318,2.1455
q_praise,ev,mistral,moral,bad,975,0.8738,0.3848
q_praise,ev,mistral,nonmoral_pooled,good,1775,6.3355,0.821
q_praise,ev,mistral,nonmoral_pooled,bad,1800,1.3917,0.5392
q_praise,parsed,gemma,moral,good,142,1.2746,1.6552
q_praise,parsed,gemma,moral,bad,660,0.1697,0.6022
q_praise,parsed,gemma,nonmoral_pooled,good,775,3.1484,2.589
q_praise,parsed,gemma,nonmoral_pooled,bad,1084,0.3921,0.8985
q_praise,parsed,llama,moral,good,283,0.9647,2.303
q_praise,parsed,llama,moral,bad,759,0.2016,1.059
q_praise,parsed,llama,nonmoral_pooled,good,1433,3.1486,3.8916
q_praise,parsed,llama,nonmoral_pooled,bad,1418,0.6072,1.9031
q_praise,parsed,mistral,moral,good,349,4.3725,3.2054
q_praise,parsed,mistral,moral,bad,972,0.9794,1.8744
q_praise,parsed,mistral,nonmoral_pooled,good,1741,6.1763,2.5635
q_praise,parsed,mistral,nonmoral_pooled,bad,1783,1.2552,1.4068
