family_id,domain,nonmoral_subdomain,valence,mean_common,mean_uncommon,flagged,goal,common_action,uncommon_action
ENV-MB-03,Environment,,MB,2.0,2.5,True,reduce operating costs by upgrading the plant's emissions-control equipment,"installed a newer, industry-standard scrubber system widely used by comparable facilities","commissioned a custom, in-house scrubber system built specifically for this plant, an approach rarely used by comparable facilities"
PS-MB-02,Product Safety,,MB,2.0,2.0,True,modernize its space heater's internal wiring to cut manufacturing costs,switched to a wiring supplier widely used by industry-standard manufacturers,"commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers"
PS-NEU-02,Product Safety,,NEU,7.5,7.5,True,modernize its space heater's internal wiring to cut manufacturing costs,switched to a wiring supplier widely used by industry-standard manufacturers,"commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers"
WORK-MG-02,Workplace,,MG,1.0,1.0,True,revise the sales team's commission structure to reduce payroll costs,adopted a commission formula widely used by comparable retail chains,"implemented a custom commission formula designed specifically for this store, an approach rarely used by comparable retailers"
ENV-MB-01,Environment,,MB,2.0,1.5,False,modernize the plant's water-treatment process to reduce operating costs,switched to a newer treatment process widely used by industry-standard providers,"commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities"
PS-NMB-02,Product Safety,prudential,NMB,2.5,2.0,False,modernize its space heater's internal wiring to cut manufacturing costs,switched to a wiring supplier widely used by industry-standard manufacturers,"commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers"
ACAD-MG-01,Academic,,MG,8.0,7.0,False,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments"
PRIV-MB-01,Data Privacy,,MB,3.0,2.0,False,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies"
ENV-NEU-02,Environment,,NEU,8.0,7.0,False,reduce wildfire management costs,adopted a commercially available vegetation-management schedule already used by many nearby forests,"implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests"
FOOD-MB-02,Food Quality,,MB,2.0,1.0,False,revise kitchen sanitation procedures to reduce cleaning-supply costs,adopted a sanitation schedule widely used by comparable restaurant chains,"implemented a custom sanitation schedule designed specifically for this chain, an approach rarely used by comparable restaurants"
PS-MB-01,Product Safety,,MB,3.0,2.0,False,modernize its toy assembly process to cut production costs,adopted a widely used assembly method common across comparable toy manufacturers,"commissioned a custom, in-house assembly method built specifically for this toy line, an approach rarely used by comparable manufacturers"
ACAD-MG-02,Academic,,MG,7.5,6.0,False,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities"
ENV-NEU-01,Environment,,NEU,8.0,6.5,False,modernize the plant's water-treatment process to reduce operating costs,switched to a newer treatment process widely used by industry-standard providers,"commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities"
ENV-NMG-02,Environment,procedural,NMG,8.0,6.5,False,reduce wildfire management costs,adopted a commercially available vegetation-management schedule already used by many nearby forests,"implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests"
ENV-NMG-03,Environment,aesthetic,NMG,8.0,6.5,False,reduce operating costs by upgrading the plant's emissions-control equipment,"installed a newer, industry-standard scrubber system widely used by comparable facilities","commissioned a custom, in-house scrubber system built specifically for this plant, an approach rarely used by comparable facilities"
PS-NMG-02,Product Safety,prudential,NMG,8.0,6.5,False,modernize its space heater's internal wiring to cut manufacturing costs,switched to a wiring supplier widely used by industry-standard manufacturers,"commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers"
ACAD-MB-02,Academic,,MB,4.5,2.5,False,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities"
ANIM-NEU-02,Animal Welfare,,NEU,8.0,6.0,False,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms"
PRIV-NEU-01,Data Privacy,,NEU,8.0,6.0,False,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies"
HC-NMG-02,Healthcare,procedural,NMG,9.0,7.0,False,switch to a lower-cost formulary to reduce the hospital's drug procurement costs,adopted a formulary substitution list widely used by comparable hospital pharmacies,"implemented a custom formulary substitution list designed specifically for this hospital, an approach rarely used by comparable pharmacies"
ACAD-NMB-01,Academic,aesthetic,NMB,4.5,2.0,False,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments"
ENV-NMB-02,Environment,procedural,NMB,7.5,5.0,False,reduce wildfire management costs,adopted a commercially available vegetation-management schedule already used by many nearby forests,"implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests"
FOOD-NEU-01,Food Quality,,NEU,7.5,5.0,False,streamline allergen testing procedures to reduce lab costs,adopted a testing protocol widely used by comparable food manufacturers,"implemented a custom testing protocol designed specifically for this product line, an approach rarely used by comparable manufacturers"
HC-MB-02,Healthcare,,MB,4.5,2.0,False,switch to a lower-cost formulary to reduce the hospital's drug procurement costs,adopted a formulary substitution list widely used by comparable hospital pharmacies,"implemented a custom formulary substitution list designed specifically for this hospital, an approach rarely used by comparable pharmacies"
HC-NMB-02,Healthcare,procedural,NMB,9.0,6.5,False,switch to a lower-cost formulary to reduce the hospital's drug procurement costs,adopted a formulary substitution list widely used by comparable hospital pharmacies,"implemented a custom formulary substitution list designed specifically for this hospital, an approach rarely used by comparable pharmacies"
HC-NMG-01,Healthcare,aesthetic,NMG,4.5,2.0,False,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities"
WORK-MB-02,Workplace,,MB,7.5,5.0,False,revise the sales team's commission structure to reduce payroll costs,adopted a commission formula widely used by comparable retail chains,"implemented a custom commission formula designed specifically for this store, an approach rarely used by comparable retailers"
ACAD-NEU-01,Academic,,NEU,8.0,5.0,False,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments"
PRIV-MB-02,Data Privacy,,MB,7.5,4.5,False,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies"
ENV-NEU-03,Environment,,NEU,8.0,5.0,False,reduce operating costs by upgrading the plant's emissions-control equipment,"installed a newer, industry-standard scrubber system widely used by comparable facilities","commissioned a custom, in-house scrubber system built specifically for this plant, an approach rarely used by comparable facilities"
ENV-NMB-03,Environment,aesthetic,NMB,8.0,5.0,False,reduce operating costs by upgrading the plant's emissions-control equipment,"installed a newer, industry-standard scrubber system widely used by comparable facilities","commissioned a custom, in-house scrubber system built specifically for this plant, an approach rarely used by comparable facilities"
FIN-MB-01,Finance,,MB,7.5,4.5,False,revise the terms on its personal loan product to increase profit margins,adopted a fee structure widely used by comparable lenders in the industry,"implemented a custom fee structure designed specifically for this loan product, an approach rarely used by comparable lenders"
HC-NMB-01,Healthcare,aesthetic,NMB,4.0,1.0,False,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities"
PS-MG-02,Product Safety,,MG,7.5,4.5,False,modernize its space heater's internal wiring to cut manufacturing costs,switched to a wiring supplier widely used by industry-standard manufacturers,"commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers"
ACAD-NEU-02,Academic,,NEU,7.5,4.0,False,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities"
ACAD-NMG-01,Academic,aesthetic,NMG,4.5,1.0,False,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments"
ANIM-MG-02,Animal Welfare,,MG,8.0,4.5,False,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms"
ENV-MG-03,Environment,,MG,8.5,5.0,False,reduce operating costs by upgrading the plant's emissions-control equipment,"installed a newer, industry-standard scrubber system widely used by comparable facilities","commissioned a custom, in-house scrubber system built specifically for this plant, an approach rarely used by comparable facilities"
ENV-NMB-01,Environment,aesthetic,NMB,7.0,3.5,False,modernize the plant's water-treatment process to reduce operating costs,switched to a newer treatment process widely used by industry-standard providers,"commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities"
FIN-NEU-01,Finance,,NEU,8.5,5.0,False,revise the terms on its personal loan product to increase profit margins,adopted a fee structure widely used by comparable lenders in the industry,"implemented a custom fee structure designed specifically for this loan product, an approach rarely used by comparable lenders"
FOOD-MB-01,Food Quality,,MB,4.5,1.0,False,streamline allergen testing procedures to reduce lab costs,adopted a testing protocol widely used by comparable food manufacturers,"implemented a custom testing protocol designed specifically for this product line, an approach rarely used by comparable manufacturers"
HC-NEU-02,Healthcare,,NEU,8.0,4.5,False,switch to a lower-cost formulary to reduce the hospital's drug procurement costs,adopted a formulary substitution list widely used by comparable hospital pharmacies,"implemented a custom formulary substitution list designed specifically for this hospital, an approach rarely used by comparable pharmacies"
PS-MG-01,Product Safety,,MG,8.0,4.5,False,modernize its toy assembly process to cut production costs,adopted a widely used assembly method common across comparable toy manufacturers,"commissioned a custom, in-house assembly method built specifically for this toy line, an approach rarely used by comparable manufacturers"
ANIM-NMB-02,Animal Welfare,aesthetic,NMB,8.0,4.0,False,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms"
COMM-MG-02,Community,,MG,8.0,4.0,False,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies"
PRIV-MG-01,Data Privacy,,MG,8.0,4.0,False,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies"
