family_id,domain,valence,nonmoral_subdomain,agent,goal,common_action,uncommon_action,affected_entity,low_evocative_outcome,high_evocative_outcome,outcome_verb,generator_model,ingest_date,human_approved
ENV-MB-01,Environment,MB,,The plant manager,modernize the plant's water-treatment process to reduce operating costs,switched to a newer treatment process widely used by industry-standard providers,"commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities",the river and the town drawing water from it downstream,a subsequent water-quality audit found contaminant levels in the river had risen well above the safety threshold used by the downstream town's treatment plant,residents of the downstream town later reported an outbreak of stomach illness traced to the tainted water supply,contaminate the town's water supply,,,True
ENV-MG-01,Environment,MG,,The plant manager,modernize the plant's water-treatment process to reduce operating costs,switched to a newer treatment process widely used by industry-standard providers,"commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities",the river and the town drawing water from it downstream,a subsequent water-quality audit found contaminant levels in the river had fallen well below the prior year's readings,"fish that had been dying off in the area began thriving again along the riverbank, and the downstream town lifted its water advisory",improve the river's water quality,,,True
ENV-NMB-01,Environment,NMB,aesthetic,The plant manager,modernize the plant's water-treatment process to reduce operating costs,switched to a newer treatment process widely used by industry-standard providers,"commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities",employees working in the plant's administrative office,a subsequent staff survey found employees rated the new break room color scheme as noticeably less appealing than the previous one,several employees said the new break room paint colors looked drab and outdated compared to before,change the color scheme of the plant office's break room,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
ENV-NMG-01,Environment,NMG,aesthetic,The plant manager,modernize the plant's water-treatment process to reduce operating costs,switched to a newer treatment process widely used by industry-standard providers,"commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities",employees working in the plant's administrative office,a subsequent staff survey found employees rated the new break room color scheme as noticeably more appealing than the previous one,several employees said the new break room paint colors made the space feel brighter and more welcoming than before,change the color scheme of the plant office's break room,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
ENV-NEU-01,Environment,NEU,,The plant manager,modernize the plant's water-treatment process to reduce operating costs,switched to a newer treatment process widely used by industry-standard providers,"commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities",staff who review the maintenance logs,the new treatment process's control software began logging maintenance entries in a different internal format than before,"a maintenance log entry that would have read '03/14/2027 - Filter check' under the old system now reads '2027-03-14_FilterCheck' instead, with no change to who reviews the logs or how maintenance is scheduled",change the maintenance log's internal format,,,True
ENV-MB-02,Environment,MB,,The forestry supervisor,reduce wildfire management costs,adopted a commercially available vegetation-management schedule already used by many nearby forests,"implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests",native wildlife relying on the forest's habitat,a follow-up ecological survey found that the amount of suitable nesting habitat for native wildlife had decreased,a follow-up ecological survey found that the amount of suitable nesting habitat had shrunk to less than half of what it had measured the previous year,reduce native wildlife's nesting habitat,,,True
ENV-MG-02,Environment,MG,,The forestry supervisor,reduce wildfire management costs,adopted a commercially available vegetation-management schedule already used by many nearby forests,"implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests",native wildlife relying on the forest's habitat,a follow-up ecological survey found that the amount of suitable nesting habitat for native wildlife had increased,a follow-up ecological survey found that the amount of suitable nesting habitat had more than doubled compared to the previous year's measurement,improve native wildlife's nesting habitat,,,True
ENV-NMB-02,Environment,NMB,procedural,The forestry supervisor,reduce wildfire management costs,adopted a commercially available vegetation-management schedule already used by many nearby forests,"implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests",field crew supervisors filing vegetation-schedule completion reports,a follow-up operations review found the new reporting form took supervisors noticeably longer to fill out each week than the previous form,several supervisors said the new form's extra fields turned a two-minute task into a fifteen-minute one every week,change the internal reporting form used to log vegetation-schedule completion,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
ENV-NMG-02,Environment,NMG,procedural,The forestry supervisor,reduce wildfire management costs,adopted a commercially available vegetation-management schedule already used by many nearby forests,"implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests",field crew supervisors filing vegetation-schedule completion reports,a follow-up operations review found the new reporting form took supervisors noticeably less time to fill out each week than the previous form,several supervisors said the new form turned a fifteen-minute weekly task into just a couple of minutes,change the internal reporting form used to log vegetation-schedule completion,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
ENV-NEU-02,Environment,NEU,,The forestry supervisor,reduce wildfire management costs,adopted a commercially available vegetation-management schedule already used by many nearby forests,"implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests",office staff who file the seasonal scheduling reports,the new schedule's tracking software began saving seasonal reports under a different internal file-naming convention than before,"a report that would have been saved as 'VegSched_Q3.xlsx' under the old system is now saved as '2027-Q3_VegetationSchedule.xlsx' instead, with no change to who files the reports or how the season is planned",change the scheduling report's internal file-naming format,,,True
