question,arm,status,family,tuning,term,p_wcb,p_holm,sig_wcb,sig_holm,flips,n_groups
q_intentionality,moral,n/a,gemma,pretrained,sign_c,0.2201100550275137,0.6603301650825412,False,False,False,39
q_intentionality,nonmoral_pooled,n/a,gemma,pretrained,sign_c,0.0005002501250625,0.00200100050025,True,True,False,40
q_intentionality,nonmoral_prudential,n/a,gemma,pretrained,sign_c,0.0,0.0,True,True,False,37
q_intentionality,nonmoral_procedural,n/a,gemma,pretrained,sign_c,0.9794897448724362,1.0,False,False,False,40
q_intentionality,moral_vs_nonmoral_pooled,n/a,gemma,pretrained,sign_c:arm_c,0.6013006503251626,1.0,False,False,False,40
q_intentionality,moral,n/a,gemma,finetuned,sign_c,0.9419709854927464,1.0,False,False,False,39
q_intentionality,nonmoral_pooled,n/a,gemma,finetuned,sign_c,0.256128064032016,1.0,False,False,False,40
q_intentionality,nonmoral_prudential,n/a,gemma,finetuned,sign_c,0.4832416208104052,1.0,False,False,False,37
q_intentionality,nonmoral_procedural,n/a,gemma,finetuned,sign_c,0.4507253626813406,1.0,False,False,False,40
q_intentionality,moral_vs_nonmoral_pooled,n/a,gemma,finetuned,sign_c:arm_c,0.5692846423211606,1.0,False,False,False,40
q_intentionality,moral,n/a,llama,pretrained,sign_c,0.0395197598799399,0.0790395197598798,True,False,True,39
q_intentionality,nonmoral_pooled,n/a,llama,pretrained,sign_c,0.0,0.0,True,True,False,40
q_intentionality,nonmoral_prudential,n/a,llama,pretrained,sign_c,0.0,0.0,True,True,False,37
q_intentionality,nonmoral_procedural,n/a,llama,pretrained,sign_c,0.0,0.0,True,True,False,40
q_intentionality,moral_vs_nonmoral_pooled,n/a,llama,pretrained,sign_c:arm_c,0.743871935967984,0.743871935967984,False,False,False,40
q_intentionality,moral,n/a,llama,finetuned,sign_c,0.0020010005002501,0.0080040020010004,True,True,False,39
q_intentionality,nonmoral_pooled,n/a,llama,finetuned,sign_c,0.0555277638819409,0.1110555277638818,False,False,False,40
q_intentionality,nonmoral_prudential,n/a,llama,finetuned,sign_c,0.535767883941971,0.535767883941971,False,False,False,37
q_intentionality,nonmoral_procedural,n/a,llama,finetuned,sign_c,0.0,0.0,True,True,False,40
q_intentionality,moral_vs_nonmoral_pooled,n/a,llama,finetuned,sign_c:arm_c,0.0165082541270635,0.049524762381190496,True,True,False,40
q_intentionality,moral,n/a,mistral,pretrained,sign_c,0.1645822911455728,0.3291645822911456,False,False,False,39
q_intentionality,nonmoral_pooled,n/a,mistral,pretrained,sign_c,0.0,0.0,True,True,False,40
q_intentionality,nonmoral_prudential,n/a,mistral,pretrained,sign_c,0.0,0.0,True,True,False,37
q_intentionality,nonmoral_procedural,n/a,mistral,pretrained,sign_c,0.0005002501250625,0.0015007503751875,True,True,False,40
q_intentionality,moral_vs_nonmoral_pooled,n/a,mistral,pretrained,sign_c:arm_c,0.1680840420210105,0.3291645822911456,False,False,False,40
q_intentionality,moral,n/a,mistral,finetuned,sign_c,0.0980490245122561,0.1960980490245122,False,False,False,39
q_intentionality,nonmoral_pooled,n/a,mistral,finetuned,sign_c,0.0,0.0,True,True,False,40
q_intentionality,nonmoral_prudential,n/a,mistral,finetuned,sign_c,0.0070035017508754,0.0210105052526262,True,True,False,37
q_intentionality,nonmoral_procedural,n/a,mistral,finetuned,sign_c,0.0,0.0,True,True,False,40
q_intentionality,moral_vs_nonmoral_pooled,n/a,mistral,finetuned,sign_c:arm_c,0.3131565782891445,0.3131565782891445,False,False,False,40
q_blame,moral,n/a,gemma,pretrained,sign_c,0.7253626813406704,0.7253626813406704,False,False,False,39
q_blame,nonmoral_pooled,n/a,gemma,pretrained,sign_c,0.0,0.0,True,True,False,40
q_blame,nonmoral_prudential,n/a,gemma,pretrained,sign_c,0.0,0.0,True,True,False,37
q_blame,nonmoral_procedural,n/a,gemma,pretrained,sign_c,0.0,0.0,True,True,False,40
q_blame,moral_vs_nonmoral_pooled,n/a,gemma,pretrained,sign_c:arm_c,0.0,0.0,True,True,False,40
q_blame,moral,n/a,gemma,finetuned,sign_c,0.0050025012506253,0.0050025012506253,True,True,False,39
q_blame,nonmoral_pooled,n/a,gemma,finetuned,sign_c,0.0,0.0,True,True,False,40
q_blame,nonmoral_prudential,n/a,gemma,finetuned,sign_c,0.0,0.0,True,True,False,37
q_blame,nonmoral_procedural,n/a,gemma,finetuned,sign_c,0.0,0.0,True,True,False,40
q_blame,moral_vs_nonmoral_pooled,n/a,gemma,finetuned,sign_c:arm_c,0.0,0.0,True,True,False,40
q_blame,moral,n/a,llama,pretrained,sign_c,0.551775887943972,0.551775887943972,False,False,False,39
q_blame,nonmoral_pooled,n/a,llama,pretrained,sign_c,0.0005002501250625,0.0025012506253125,True,True,False,40
q_blame,nonmoral_prudential,n/a,llama,pretrained,sign_c,0.0135067533766883,0.0405202601300649,True,True,False,37
q_blame,nonmoral_procedural,n/a,llama,pretrained,sign_c,0.0080040020010005,0.032016008004002,True,True,False,40
q_blame,moral_vs_nonmoral_pooled,n/a,llama,pretrained,sign_c:arm_c,0.0945472736368184,0.1890945472736368,False,False,False,40
