model_key,question,n_rows,n_parse_ok,parse_rate,r_ev_vs_parsed
gemma-2-9b-instruct,q_blame,4900,2596,0.5298,0.8233
gemma-2-9b-instruct,q_intentionality,4900,2848,0.5812,0.1801
gemma-2-9b-instruct,q_praise,4900,2661,0.5431,0.7614
gemma-2-9b-pretrained,q_blame,4900,3184,0.6498,0.178
gemma-2-9b-pretrained,q_intentionality,4900,3611,0.7369,0.0982
gemma-2-9b-pretrained,q_praise,4900,3086,0.6298,0.2273
llama-3.1-8b-instruct,q_blame,4900,3788,0.7731,0.6558
llama-3.1-8b-instruct,q_intentionality,4900,3339,0.6814,0.1463
llama-3.1-8b-instruct,q_praise,4900,3893,0.7945,0.5576
llama-3.1-8b-pretrained,q_blame,4900,1334,0.2722,0.0259
llama-3.1-8b-pretrained,q_intentionality,4900,2679,0.5467,0.1381
llama-3.1-8b-pretrained,q_praise,4900,1466,0.2992,0.1761
mistral-7b-v0.1-instruct,q_blame,4900,4814,0.9824,0.7735
mistral-7b-v0.1-instruct,q_intentionality,4900,4820,0.9837,0.4213
mistral-7b-v0.1-instruct,q_praise,4900,4845,0.9888,0.8117
mistral-7b-v0.1-pretrained,q_blame,4900,1249,0.2549,0.0394
mistral-7b-v0.1-pretrained,q_intentionality,4900,2602,0.531,0.0702
mistral-7b-v0.1-pretrained,q_praise,4900,1407,0.2871,0.0743
