family_id,domain,nonmoral_subdomain,valence,typicality,low_variant_id,high_variant_id,vividness_low,vividness_high,gap,official_flag,skipped_by_pipeline,goal,low_evocative_outcome,high_evocative_outcome
ANIM-NEU-01,Animal Welfare,,NEU,common,ANIM-NEU-01-A,ANIM-NEU-01-B,5,2,-3,True,False,reduce the shelter's operating budget,the new policy's tracking software began saving intake records under a different internal file-naming convention than before,"an intake record that would have been saved as 'INTAKE_083127.csv' under the old system is now saved as '2027-08-31_AnimalIntake.csv' instead, with no change to who reviews the records or how intake is processed"
COMM-MG-01,Community,,MG,uncommon,COMM-MG-01-C,COMM-MG-01-D,6,3,-3,SKIPPED_BY_PIPELINE (gap<2: True),True,reallocate emergency response resources across the city to reduce the department's overtime budget,a subsequent records review found average emergency response times in the affected neighborhoods fell noticeably under the new allocation plan,several residents said crews arrived and contained a fire before it could spread beyond the room where it started
ENV-NMB-01,Environment,aesthetic,NMB,common,ENV-NMB-01-A,ENV-NMB-01-B,5,3,-2,True,False,modernize the plant's water-treatment process to reduce operating costs,a subsequent resident survey found that the air's ambient odor near the plant had changed noticeably,"residents downwind of the plant said the air now carried a faint, unfamiliar odor on humid days that hadn't been present before"
ENV-NMG-01,Environment,aesthetic,NMG,common,ENV-NMG-01-A,ENV-NMG-01-B,5,3,-2,SKIPPED_BY_PIPELINE (gap<2: True),True,modernize the plant's water-treatment process to reduce operating costs,a subsequent resident survey found that the air's ambient odor near the plant had changed noticeably,residents downwind of the plant said the air now carried a faint floral-like scent on humid days that hadn't been present before
HC-NMG-02,Healthcare,procedural,NMG,uncommon,HC-NMG-02-C,HC-NMG-02-D,4,2,-2,True,False,switch to a lower-cost formulary to reduce the hospital's drug procurement costs,a subsequent customer survey found patients rated the new bottle-cap color as noticeably more appealing than the previous one,several patients said the new cap color looked more modern compared to the pharmacy's old packaging
ACAD-MG-01,Academic,,MG,uncommon,ACAD-MG-01-C,ACAD-MG-01-D,3,2,-1,True,False,reduce faculty workload spent on grading,a subsequent grade audit found discrepancies between rubric scores and actual student performance at a noticeably lower rate than under the previous rubric,several students who had previously had grading errors on their transcripts said the new rubric caught and corrected the mistakes before grades were finalized
ACAD-MG-02,Academic,,MG,uncommon,ACAD-MG-02-C,ACAD-MG-02-D,3,2,-1,True,False,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,a subsequent review found qualified applicants were rejected at a noticeably lower rate under the new rubric than under the previous one,several applicants who had previously been rejected under similar circumstances said the new rubric's balanced scoring gave their full application fair consideration
ACAD-NEU-02,Academic,,NEU,uncommon,ACAD-NEU-02-C,ACAD-NEU-02-D,3,2,-1,True,False,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,the new evaluation rubric's processing software began archiving applications under a different internal file-naming convention than before,"an archive record that would have been saved as 'APP_083127.csv' under the old system is now saved as '2027-08-31_Application.csv' instead, with no change to who reviews the archive or how applications are processed"
ACAD-NMG-01,Academic,aesthetic,NMG,uncommon,ACAD-NMG-01-C,ACAD-NMG-01-D,3,2,-1,True,False,reduce faculty workload spent on grading,a subsequent student survey found the new course catalog cover rated as noticeably more appealing than the previous one,several students said the new catalog cover looked more polished compared to other departments' catalogs
ACAD-NMG-02,Academic,aesthetic,NMG,common,ACAD-NMG-02-A,ACAD-NMG-02-B,3,2,-1,SKIPPED_BY_PIPELINE (gap<2: True),True,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,a subsequent applicant survey found the new welcome brochure's cover rated as noticeably more appealing than the previous one,several applicants said the new brochure cover looked more distinctive compared to other universities' materials
