question,arm,status,family,tuning,term,p_wcb,p_holm,sig_wcb,sig_holm,flips,n_groups
q_intentionality,harm_control,primary,gemma,pretrained,sign_c,0.3256628314157078,0.9769884942471234,False,False,False,30
q_intentionality,nonharm_pooled,primary,gemma,pretrained,sign_c,0.9089544772386192,0.9769884942471234,False,False,False,26
q_intentionality,harm_vs_nonharm_pooled,primary,gemma,pretrained,sign_c:arm_c,0.4232116058029014,0.9769884942471234,False,False,False,34
q_intentionality,loyalty,exploratory,gemma,pretrained,sign_c,0.7738869434717359,1.0,False,False,False,10
q_intentionality,authority,exploratory,gemma,pretrained,sign_c,0.0435217608804402,0.1740870435217608,True,False,True,9
q_intentionality,fairness,exploratory,gemma,pretrained,sign_c,0.5277638819409705,1.0,False,False,False,8
q_intentionality,purity,exploratory,gemma,pretrained,sign_c,0.639319659829915,1.0,False,False,False,6
q_intentionality,harm_control,primary,gemma,finetuned,sign_c,0.0,0.0,True,True,False,30
q_intentionality,nonharm_pooled,primary,gemma,finetuned,sign_c,0.0,0.0,True,True,False,26
q_intentionality,harm_vs_nonharm_pooled,primary,gemma,finetuned,sign_c:arm_c,0.7038519259629815,0.7038519259629815,False,False,False,34
q_intentionality,loyalty,exploratory,gemma,finetuned,sign_c,0.0240120060030015,0.0720360180090045,True,False,True,10
q_intentionality,authority,exploratory,gemma,finetuned,sign_c,0.001000500250125,0.0040020010005,True,True,False,9
q_intentionality,fairness,exploratory,gemma,finetuned,sign_c,0.1065532766383191,0.1065532766383191,False,False,False,8
q_intentionality,purity,exploratory,gemma,finetuned,sign_c,0.0460230115057528,0.0920460230115056,True,False,True,6
q_intentionality,harm_control,primary,llama,pretrained,sign_c,0.1470735367683842,0.4412206103051526,False,False,False,30
q_intentionality,nonharm_pooled,primary,llama,pretrained,sign_c,0.9664832416208105,0.9664832416208105,False,False,False,26
q_intentionality,harm_vs_nonharm_pooled,primary,llama,pretrained,sign_c:arm_c,0.224112056028014,0.448224112056028,False,False,False,34
q_intentionality,loyalty,exploratory,llama,pretrained,sign_c,0.1605802901450725,0.64232116058029,False,False,False,10
q_intentionality,authority,exploratory,llama,pretrained,sign_c,0.3351675837918959,1.0,False,False,False,9
q_intentionality,fairness,exploratory,llama,pretrained,sign_c,0.5782891445722862,1.0,False,False,False,8
q_intentionality,purity,exploratory,llama,pretrained,sign_c,0.4677338669334667,1.0,False,False,False,6
q_intentionality,harm_control,primary,llama,finetuned,sign_c,0.096048024012006,0.288144072036018,False,False,False,30
q_intentionality,nonharm_pooled,primary,llama,finetuned,sign_c,0.3881940970485242,0.7763881940970484,False,False,False,26
q_intentionality,harm_vs_nonharm_pooled,primary,llama,finetuned,sign_c:arm_c,0.4382191095547774,0.7763881940970484,False,False,False,34
q_intentionality,loyalty,exploratory,llama,finetuned,sign_c,0.4057028514257128,0.8329164582291144,False,False,False,10
q_intentionality,authority,exploratory,llama,finetuned,sign_c,0.0425212606303151,0.1700850425212604,True,False,True,9
q_intentionality,fairness,exploratory,llama,finetuned,sign_c,0.9724862431215608,0.9724862431215608,False,False,False,8
q_intentionality,purity,exploratory,llama,finetuned,sign_c,0.2776388194097048,0.8329164582291144,False,False,False,6
q_intentionality,harm_control,primary,mistral,pretrained,sign_c,0.6043021510755378,0.6043021510755378,False,False,False,30
q_intentionality,nonharm_pooled,primary,mistral,pretrained,sign_c,0.0090045022511255,0.0270135067533765,True,True,False,26
q_intentionality,harm_vs_nonharm_pooled,primary,mistral,pretrained,sign_c:arm_c,0.0450225112556278,0.0900450225112556,True,False,True,34
q_intentionality,loyalty,exploratory,mistral,pretrained,sign_c,0.5667833916958479,0.6843421710855426,False,False,False,10
q_intentionality,authority,exploratory,mistral,pretrained,sign_c,0.0125062531265632,0.0480240120060028,True,True,False,9
q_intentionality,fairness,exploratory,mistral,pretrained,sign_c,0.0120060030015007,0.0480240120060028,True,True,False,8
q_intentionality,purity,exploratory,mistral,pretrained,sign_c,0.3421710855427713,0.6843421710855426,False,False,False,6
q_intentionality,harm_control,primary,mistral,finetuned,sign_c,0.0,0.0,True,True,False,30
q_intentionality,nonharm_pooled,primary,mistral,finetuned,sign_c,0.0100050025012506,0.0200100050025012,True,True,False,26
q_intentionality,harm_vs_nonharm_pooled,primary,mistral,finetuned,sign_c:arm_c,0.0695347673836918,0.0695347673836918,False,False,False,34
q_intentionality,loyalty,exploratory,mistral,finetuned,sign_c,0.3381690845422711,0.6763381690845423,False,False,False,10
q_intentionality,authority,exploratory,mistral,finetuned,sign_c,0.7498749374687343,0.7498749374687343,False,False,False,9
q_intentionality,fairness,exploratory,mistral,finetuned,sign_c,0.0080040020010005,0.032016008004002,True,True,False,8
q_intentionality,purity,exploratory,mistral,finetuned,sign_c,0.0470235117558779,0.1410705352676337,True,False,True,6
