question,arm,status,family,tuning,term,p_wcb,p_holm,sig_wcb,sig_holm,flips,n_groups
q_intentionality,harm_control,primary,gemma,pretrained,sign_c,0.4062031015507754,0.7188594297148572,False,False,False,30
q_intentionality,nonharm_pooled,primary,gemma,pretrained,sign_c,0.3321660830415208,0.7188594297148572,False,False,False,26
q_intentionality,harm_vs_nonharm_pooled,primary,gemma,pretrained,sign_c:arm_c,0.2396198099049524,0.7188594297148572,False,False,False,34
q_intentionality,loyalty,exploratory,gemma,pretrained,sign_c,0.0395197598799399,0.1185592796398197,True,False,True,10
q_intentionality,authority,exploratory,gemma,pretrained,sign_c,0.0155077538769384,0.0620310155077536,True,False,True,9
q_intentionality,fairness,exploratory,gemma,pretrained,sign_c,0.225112556278139,0.450225112556278,False,False,False,8
q_intentionality,purity,exploratory,gemma,pretrained,sign_c,0.3561780890445222,0.450225112556278,False,False,False,6
q_intentionality,harm_control,primary,gemma,finetuned,sign_c,0.001000500250125,0.00200100050025,True,True,False,30
q_intentionality,nonharm_pooled,primary,gemma,finetuned,sign_c,0.0,0.0,True,True,False,26
q_intentionality,harm_vs_nonharm_pooled,primary,gemma,finetuned,sign_c:arm_c,0.0120060030015007,0.0120060030015007,True,True,False,34
q_intentionality,loyalty,exploratory,gemma,finetuned,sign_c,0.0060030015007503,0.0120060030015006,True,True,False,10
q_intentionality,authority,exploratory,gemma,finetuned,sign_c,0.001000500250125,0.0040020010005,True,True,False,9
q_intentionality,fairness,exploratory,gemma,finetuned,sign_c,0.0025012506253126,0.007503751875937799,True,True,False,8
q_intentionality,purity,exploratory,gemma,finetuned,sign_c,0.2336168084042021,0.2336168084042021,False,False,False,6
q_intentionality,harm_control,primary,llama,pretrained,sign_c,0.0050025012506253,0.0150075037518759,True,True,False,30
q_intentionality,nonharm_pooled,primary,llama,pretrained,sign_c,0.0875437718859429,0.1750875437718858,False,False,False,26
q_intentionality,harm_vs_nonharm_pooled,primary,llama,pretrained,sign_c:arm_c,0.1645822911455728,0.1750875437718858,False,False,False,34
q_intentionality,loyalty,exploratory,llama,pretrained,sign_c,0.0050025012506253,0.0150075037518759,True,True,False,10
q_intentionality,authority,exploratory,llama,pretrained,sign_c,0.0030015007503751,0.0120060030015004,True,True,False,9
q_intentionality,fairness,exploratory,llama,pretrained,sign_c,0.0155077538769384,0.0310155077538768,True,True,False,8
q_intentionality,purity,exploratory,llama,pretrained,sign_c,0.3386693346673337,0.3386693346673337,False,False,False,6
q_intentionality,harm_control,primary,llama,finetuned,sign_c,0.0,0.0,True,True,False,30
q_intentionality,nonharm_pooled,primary,llama,finetuned,sign_c,0.0,0.0,True,True,False,26
q_intentionality,harm_vs_nonharm_pooled,primary,llama,finetuned,sign_c:arm_c,0.7263631815907954,0.7263631815907954,False,False,False,34
q_intentionality,loyalty,exploratory,llama,finetuned,sign_c,0.0440220110055027,0.0880440220110054,True,False,True,10
q_intentionality,authority,exploratory,llama,finetuned,sign_c,0.0030015007503751,0.0120060030015004,True,True,False,9
q_intentionality,fairness,exploratory,llama,finetuned,sign_c,0.009504752376188,0.028514257128563997,True,True,False,8
q_intentionality,purity,exploratory,llama,finetuned,sign_c,0.3971985992996498,0.3971985992996498,False,False,False,6
q_intentionality,harm_control,primary,mistral,pretrained,sign_c,0.0,0.0,True,True,False,30
q_intentionality,nonharm_pooled,primary,mistral,pretrained,sign_c,0.3541770885442721,0.3541770885442721,False,False,False,26
q_intentionality,harm_vs_nonharm_pooled,primary,mistral,pretrained,sign_c:arm_c,0.0,0.0,True,True,False,34
q_intentionality,loyalty,exploratory,mistral,pretrained,sign_c,0.6468234117058529,1.0,False,False,False,10
q_intentionality,authority,exploratory,mistral,pretrained,sign_c,0.1755877938969484,0.7023511755877936,False,False,False,9
q_intentionality,fairness,exploratory,mistral,pretrained,sign_c,0.9319659829914958,1.0,False,False,False,8
q_intentionality,purity,exploratory,mistral,pretrained,sign_c,0.6668334167083542,1.0,False,False,False,6
q_intentionality,harm_control,primary,mistral,finetuned,sign_c,0.0,0.0,True,True,False,30
q_intentionality,nonharm_pooled,primary,mistral,finetuned,sign_c,0.0,0.0,True,True,False,26
q_intentionality,harm_vs_nonharm_pooled,primary,mistral,finetuned,sign_c:arm_c,0.6058029014507254,0.6058029014507254,False,False,False,34
q_intentionality,loyalty,exploratory,mistral,finetuned,sign_c,0.0415207603801901,0.0830415207603802,True,False,True,10
q_intentionality,authority,exploratory,mistral,finetuned,sign_c,0.0520260130065032,0.0830415207603802,False,False,False,9
q_intentionality,fairness,exploratory,mistral,finetuned,sign_c,0.0025012506253126,0.0100050025012504,True,True,False,8
q_intentionality,purity,exploratory,mistral,finetuned,sign_c,0.0270135067533766,0.0810405202601298,True,False,True,6
