variant_id,pair_id,condition,source,sign,scenario,q_intentionality
harm-01-bad,1,harm_control,ngo_derived,bad,The families in the test market relied on the gadget's child-safety lock. Bill released the gadget to make a deadline. Bill did not care at all about the effect the gadget would have on the children using it. Bill knew the gadget's faulty lock would injure children.,Did Bill intentionally injure children?
harm-01-good,1,harm_control,ngo_derived,good,The families in the test market relied on the invention's child-safety lock. Robyn released the invention to make a deadline. Robyn did not care at all about the effect the invention would have on the children using it. Robyn knew the invention's improved lock would protect children from injury.,Did Robyn intentionally protect children from injury?
harm-02-bad,2,harm_control,ngo_derived,bad,The wetland beside the plant kept the region's drinking water clean. The CEO started a plan to increase profits. She did not care at all about the effect the plan would have on the wetland. She knew the plan's runoff would poison the wetland.,Did the CEO intentionally poison the wetland?
harm-02-good,2,harm_control,ngo_derived,good,The wetland beside the plant kept the region's drinking water clean. The chairman started a plan to increase revenue. He did not care at all about the effect the plan would have on the wetland. He knew the plan's new filtration would restore the wetland.,Did the chairman intentionally restore the wetland?
harm-04-bad,4,harm_control,ngo_derived,bad,The country club's elderly members depended on its accessible front ramp. Natasha renovated the country club to improve its appearance. Natasha did not care at all about the effect the renovation would have on the elderly members. Natasha knew removing the ramp would cause elderly members to fall.,Did Natasha intentionally cause elderly members to fall?
harm-04-good,4,harm_control,ngo_derived,good,The golf course's elderly members depended on shade to get through summer rounds. Floyd renovated the golf course to improve its playability. Floyd did not care at all about the effect the renovation would have on the elderly members. Floyd knew the added shade would protect elderly members from heatstroke.,Did Floyd intentionally protect elderly members from heatstroke?
harm-05-bad,5,harm_control,ngo_derived,bad,Newtown's residents depended on the reservoir for their drinking water. The mayor diverted water to Oldtown to gain votes. He did not care at all about the effect this would have on Newtown's residents. He knew the diversion would leave Newtown's residents without safe drinking water.,Did the mayor intentionally leave Newtown's residents without safe drinking water?
harm-05-good,5,harm_control,ngo_derived,good,The valley's farms depended on the river for irrigation. The councilwoman diverted water to her town to win an election. She did not care at all about the effect this would have on the valley's farms. She knew the diversion would double the farms' harvest.,Did the councilwoman intentionally double the farms' harvest?
harm-08-bad,8,harm_control,ngo_derived,bad,The medical school's clinic treated hundreds of uninsured patients. The university president enacted a plan to increase business school funding. He did not care at all about the effect the plan would have on the clinic's patients. He knew cutting the clinic's funding would leave its patients without care.,Did the university president intentionally leave the clinic's patients without care?
harm-08-good,8,harm_control,ngo_derived,good,The soccer team's trainers ran the campus concussion clinic. The athletic director enacted a plan to increase basketball funding. She did not care at all about the effect the plan would have on the concussion clinic. She knew the funding formula would expand the clinic's care for injured students.,Did the athletic director intentionally expand care for injured students?
harm-09-bad,9,harm_control,ngo_derived,bad,Susie-Ann's family lived off the vegetables from her plot. Jenny spread weed killer to protect her crops. Jenny did not care at all about the effect this would have on Susie-Ann's plot. Jenny knew the weed killer's drift would destroy Susie-Ann's vegetables.,Did Jenny intentionally destroy Susie-Ann's vegetables?
harm-09-good,9,harm_control,ngo_derived,good,Billy-Bob's family lived off the vegetables from his plot. Stanley spread anti-fungals to protect his crops. Stanley did not care at all about the effect this would have on Billy-Bob's plot. Stanley knew the anti-fungals' drift would save Billy-Bob's vegetables from blight.,Did Stanley intentionally save Billy-Bob's vegetables from blight?
harm-10-bad,10,harm_control,ngo_derived,bad,Kate's uncle depended on daily company to manage his depression. Kate placed her uncle in a nursing home to avoid being his caretaker. Kate did not care at all about the effect the placement would have on her uncle. Kate knew the isolated facility would deepen her uncle's depression.,Did Kate intentionally deepen her uncle's depression?
harm-10-good,10,harm_control,ngo_derived,good,Jared's aunt depended on daily company to manage her depression. Jared placed his aunt in a nursing home to avoid being her caretaker. Jared did not care at all about the effect the placement would have on his aunt. Jared knew the facility's busy social program would lift his aunt's depression.,Did Jared intentionally lift his aunt's depression?
