variant_id,family_id,domain,nonmoral_subdomain,valence,typicality,evocativeness,moral_relevance,flagged,flag_detail,goal,common_action,uncommon_action,outcome_verb
ANIM-MG-02-C,ANIM-MG-02,Animal Welfare,,MG,uncommon,low,3,True,category_manipulation: moral_relevance=3 < moral_min=6 for MG item,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms",reduce livestock's risk of injury during transport
PRIV-MG-01-B,PRIV-MG-01,Data Privacy,,MG,common,high,3,True,category_manipulation: moral_relevance=3 < moral_min=6 for MG item,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies",reduce customers' risk of having their personal data exposed in a breach
PRIV-MG-01-D,PRIV-MG-01,Data Privacy,,MG,uncommon,high,3,True,category_manipulation: moral_relevance=3 < moral_min=6 for MG item,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies",reduce customers' risk of having their personal data exposed in a breach
PRIV-NMB-01-A,PRIV-NMB-01,Data Privacy,procedural,NMB,common,low,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMB item,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies",change how account settings are organized on the settings page
PRIV-NMB-01-C,PRIV-NMB-01,Data Privacy,procedural,NMB,uncommon,low,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMB item,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies",change how account settings are organized on the settings page
PRIV-NMB-01-D,PRIV-NMB-01,Data Privacy,procedural,NMB,uncommon,high,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMB item,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies",change how account settings are organized on the settings page
PRIV-NMB-02-A,PRIV-NMB-02,Data Privacy,procedural,NMB,common,low,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMB item,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies",change the newsletter email's visual template design
PRIV-NMB-02-C,PRIV-NMB-02,Data Privacy,procedural,NMB,uncommon,low,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMB item,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies",change the newsletter email's visual template design
PRIV-NMB-02-D,PRIV-NMB-02,Data Privacy,procedural,NMB,uncommon,high,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMB item,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies",change the newsletter email's visual template design
PRIV-NMG-02-C,PRIV-NMG-02,Data Privacy,procedural,NMG,uncommon,low,7,True,category_manipulation: moral_relevance=7 > nonmoral_max=4 for NMG item,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies",change the newsletter email's visual template design
PRIV-NMG-02-D,PRIV-NMG-02,Data Privacy,procedural,NMG,uncommon,high,7,True,category_manipulation: moral_relevance=7 > nonmoral_max=4 for NMG item,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies",change the newsletter email's visual template design
ENV-MG-01-C,ENV-MG-01,Environment,,MG,uncommon,low,3,True,category_manipulation: moral_relevance=3 < moral_min=6 for MG item,modernize the plant's water-treatment process to reduce operating costs,switched to a newer treatment process widely used by industry-standard providers,"commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities",improve the river's water quality
ENV-MG-01-D,ENV-MG-01,Environment,,MG,uncommon,high,3,True,category_manipulation: moral_relevance=3 < moral_min=6 for MG item,modernize the plant's water-treatment process to reduce operating costs,switched to a newer treatment process widely used by industry-standard providers,"commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities",improve the river's water quality
ENV-MG-02-A,ENV-MG-02,Environment,,MG,common,low,2,True,category_manipulation: moral_relevance=2 < moral_min=6 for MG item,reduce wildfire management costs,adopted a commercially available vegetation-management schedule already used by many nearby forests,"implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests",improve native wildlife's nesting habitat
ENV-MG-03-B,ENV-MG-03,Environment,,MG,common,high,2,True,category_manipulation: moral_relevance=2 < moral_min=6 for MG item,reduce operating costs by upgrading the plant's emissions-control equipment,"installed a newer, industry-standard scrubber system widely used by comparable facilities","commissioned a custom, in-house scrubber system built specifically for this plant, an approach rarely used by comparable facilities",lower the plant's particulate emissions
ENV-NMB-01-C,ENV-NMB-01,Environment,aesthetic,NMB,uncommon,low,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMB item,modernize the plant's water-treatment process to reduce operating costs,switched to a newer treatment process widely used by industry-standard providers,"commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities",change the air's odor near the plant
ENV-NMB-01-D,ENV-NMB-01,Environment,aesthetic,NMB,uncommon,high,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMB item,modernize the plant's water-treatment process to reduce operating costs,switched to a newer treatment process widely used by industry-standard providers,"commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities",change the air's odor near the plant
ENV-NMB-02-B,ENV-NMB-02,Environment,procedural,NMB,common,high,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMB item,reduce wildfire management costs,adopted a commercially available vegetation-management schedule already used by many nearby forests,"implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests",increase field crews' workload
ENV-NMB-02-D,ENV-NMB-02,Environment,procedural,NMB,uncommon,high,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMB item,reduce wildfire management costs,adopted a commercially available vegetation-management schedule already used by many nearby forests,"implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests",increase field crews' workload
ENV-NMB-03-A,ENV-NMB-03,Environment,aesthetic,NMB,common,low,7,True,category_manipulation: moral_relevance=7 > nonmoral_max=4 for NMB item,reduce operating costs by upgrading the plant's emissions-control equipment,"installed a newer, industry-standard scrubber system widely used by comparable facilities","commissioned a custom, in-house scrubber system built specifically for this plant, an approach rarely used by comparable facilities",change the air's odor near the plant
ENV-NMB-03-C,ENV-NMB-03,Environment,aesthetic,NMB,uncommon,low,8,True,category_manipulation: moral_relevance=8 > nonmoral_max=4 for NMB item,reduce operating costs by upgrading the plant's emissions-control equipment,"installed a newer, industry-standard scrubber system widely used by comparable facilities","commissioned a custom, in-house scrubber system built specifically for this plant, an approach rarely used by comparable facilities",change the air's odor near the plant
ENV-NMB-03-D,ENV-NMB-03,Environment,aesthetic,NMB,uncommon,high,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMB item,reduce operating costs by upgrading the plant's emissions-control equipment,"installed a newer, industry-standard scrubber system widely used by comparable facilities","commissioned a custom, in-house scrubber system built specifically for this plant, an approach rarely used by comparable facilities",change the air's odor near the plant
ENV-NMG-01-C,ENV-NMG-01,Environment,aesthetic,NMG,uncommon,low,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMG item,modernize the plant's water-treatment process to reduce operating costs,switched to a newer treatment process widely used by industry-standard providers,"commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities",change the air's odor near the plant
ENV-NMG-03-D,ENV-NMG-03,Environment,aesthetic,NMG,uncommon,high,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMG item,reduce operating costs by upgrading the plant's emissions-control equipment,"installed a newer, industry-standard scrubber system widely used by comparable facilities","commissioned a custom, in-house scrubber system built specifically for this plant, an approach rarely used by comparable facilities",change the air's odor near the plant
FIN-MG-01-A,FIN-MG-01,Finance,,MG,common,low,2,True,category_manipulation: moral_relevance=2 < moral_min=6 for MG item,revise the terms on its personal loan product to increase profit margins,adopted a fee structure widely used by comparable lenders in the industry,"implemented a custom fee structure designed specifically for this loan product, an approach rarely used by comparable lenders",reduce borrowers' risk of falling into loan default
FIN-MG-01-B,FIN-MG-01,Finance,,MG,common,high,3,True,category_manipulation: moral_relevance=3 < moral_min=6 for MG item,revise the terms on its personal loan product to increase profit margins,adopted a fee structure widely used by comparable lenders in the industry,"implemented a custom fee structure designed specifically for this loan product, an approach rarely used by comparable lenders",reduce borrowers' risk of falling into loan default
FIN-MG-02-C,FIN-MG-02,Finance,,MG,uncommon,low,2,True,category_manipulation: moral_relevance=2 < moral_min=6 for MG item,streamline claims handling to cut administrative costs,adopted a claims-review process widely used by comparable insurers,"implemented a custom claims-review process designed specifically for this department, an approach rarely used by comparable insurers",reduce policyholders' risk of having valid claims denied
FIN-NMB-01-D,FIN-NMB-01,Finance,procedural,NMB,uncommon,high,7,True,category_manipulation: moral_relevance=7 > nonmoral_max=4 for NMB item,revise the terms on its personal loan product to increase profit margins,adopted a fee structure widely used by comparable lenders in the industry,"implemented a custom fee structure designed specifically for this loan product, an approach rarely used by comparable lenders",change the loan welcome packet's cover design
FIN-NMB-02-C,FIN-NMB-02,Finance,procedural,NMB,uncommon,low,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMB item,streamline claims handling to cut administrative costs,adopted a claims-review process widely used by comparable insurers,"implemented a custom claims-review process designed specifically for this department, an approach rarely used by comparable insurers",change how claim status updates are displayed on the online portal
FIN-NMG-01-A,FIN-NMG-01,Finance,procedural,NMG,common,low,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMG item,revise the terms on its personal loan product to increase profit margins,adopted a fee structure widely used by comparable lenders in the industry,"implemented a custom fee structure designed specifically for this loan product, an approach rarely used by comparable lenders",change the loan welcome packet's cover design
FIN-NMG-01-C,FIN-NMG-01,Finance,procedural,NMG,uncommon,low,8,True,category_manipulation: moral_relevance=8 > nonmoral_max=4 for NMG item,revise the terms on its personal loan product to increase profit margins,adopted a fee structure widely used by comparable lenders in the industry,"implemented a custom fee structure designed specifically for this loan product, an approach rarely used by comparable lenders",change the loan welcome packet's cover design
FIN-NMG-01-D,FIN-NMG-01,Finance,procedural,NMG,uncommon,high,8,True,category_manipulation: moral_relevance=8 > nonmoral_max=4 for NMG item,revise the terms on its personal loan product to increase profit margins,adopted a fee structure widely used by comparable lenders in the industry,"implemented a custom fee structure designed specifically for this loan product, an approach rarely used by comparable lenders",change the loan welcome packet's cover design
FOOD-NEU-02-C,FOOD-NEU-02,Food Quality,,NEU,uncommon,low,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NEU item,revise kitchen sanitation procedures to reduce cleaning-supply costs,adopted a sanitation schedule widely used by comparable restaurant chains,"implemented a custom sanitation schedule designed specifically for this chain, an approach rarely used by comparable restaurants",change the cleaning log's internal file-naming format
FOOD-NMB-01-C,FOOD-NMB-01,Food Quality,aesthetic,NMB,uncommon,low,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMB item,streamline allergen testing procedures to reduce lab costs,adopted a testing protocol widely used by comparable food manufacturers,"implemented a custom testing protocol designed specifically for this product line, an approach rarely used by comparable manufacturers",change the product packaging's design
FOOD-NMG-01-B,FOOD-NMG-01,Food Quality,aesthetic,NMG,common,high,7,True,category_manipulation: moral_relevance=7 > nonmoral_max=4 for NMG item,streamline allergen testing procedures to reduce lab costs,adopted a testing protocol widely used by comparable food manufacturers,"implemented a custom testing protocol designed specifically for this product line, an approach rarely used by comparable manufacturers",change the product packaging's design
FOOD-NMG-02-D,FOOD-NMG-02,Food Quality,aesthetic,NMG,uncommon,high,7,True,category_manipulation: moral_relevance=7 > nonmoral_max=4 for NMG item,revise kitchen sanitation procedures to reduce cleaning-supply costs,adopted a sanitation schedule widely used by comparable restaurant chains,"implemented a custom sanitation schedule designed specifically for this chain, an approach rarely used by comparable restaurants",change the dining area's decor
HC-MG-01-B,HC-MG-01,Healthcare,,MG,common,high,2,True,category_manipulation: moral_relevance=2 < moral_min=6 for MG item,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities",reduce patients' risk of complications linked to inadequate staffing
HC-NMB-01-A,HC-NMB-01,Healthcare,aesthetic,NMB,common,low,8,True,category_manipulation: moral_relevance=8 > nonmoral_max=4 for NMB item,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities",change the waiting area's decor
HC-NMB-01-B,HC-NMB-01,Healthcare,aesthetic,NMB,common,high,8,True,category_manipulation: moral_relevance=8 > nonmoral_max=4 for NMB item,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities",change the waiting area's decor
HC-NMB-01-C,HC-NMB-01,Healthcare,aesthetic,NMB,uncommon,low,8,True,category_manipulation: moral_relevance=8 > nonmoral_max=4 for NMB item,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities",change the waiting area's decor
HC-NMB-01-D,HC-NMB-01,Healthcare,aesthetic,NMB,uncommon,high,9,True,category_manipulation: moral_relevance=9 > nonmoral_max=4 for NMB item,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities",change the waiting area's decor
HC-NMG-01-A,HC-NMG-01,Healthcare,aesthetic,NMG,common,low,8,True,category_manipulation: moral_relevance=8 > nonmoral_max=4 for NMG item,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities",change the waiting area's decor
HC-NMG-01-B,HC-NMG-01,Healthcare,aesthetic,NMG,common,high,9,True,category_manipulation: moral_relevance=9 > nonmoral_max=4 for NMG item,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities",change the waiting area's decor
HC-NMG-01-C,HC-NMG-01,Healthcare,aesthetic,NMG,uncommon,low,8,True,category_manipulation: moral_relevance=8 > nonmoral_max=4 for NMG item,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities",change the waiting area's decor
PS-MG-01-B,PS-MG-01,Product Safety,,MG,common,high,3,True,category_manipulation: moral_relevance=3 < moral_min=6 for MG item,modernize its toy assembly process to cut production costs,adopted a widely used assembly method common across comparable toy manufacturers,"commissioned a custom, in-house assembly method built specifically for this toy line, an approach rarely used by comparable manufacturers",reduce children's risk of choking on the toy
PS-MG-01-C,PS-MG-01,Product Safety,,MG,uncommon,low,2,True,category_manipulation: moral_relevance=2 < moral_min=6 for MG item,modernize its toy assembly process to cut production costs,adopted a widely used assembly method common across comparable toy manufacturers,"commissioned a custom, in-house assembly method built specifically for this toy line, an approach rarely used by comparable manufacturers",reduce children's risk of choking on the toy
PS-MG-02-A,PS-MG-02,Product Safety,,MG,common,low,2,True,category_manipulation: moral_relevance=2 < moral_min=6 for MG item,modernize its space heater's internal wiring to cut manufacturing costs,switched to a wiring supplier widely used by industry-standard manufacturers,"commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers",reduce customers' risk of fire from the space heater
PS-MG-02-B,PS-MG-02,Product Safety,,MG,common,high,2,True,category_manipulation: moral_relevance=2 < moral_min=6 for MG item,modernize its space heater's internal wiring to cut manufacturing costs,switched to a wiring supplier widely used by industry-standard manufacturers,"commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers",reduce customers' risk of fire from the space heater
PS-MG-02-C,PS-MG-02,Product Safety,,MG,uncommon,low,2,True,category_manipulation: moral_relevance=2 < moral_min=6 for MG item,modernize its space heater's internal wiring to cut manufacturing costs,switched to a wiring supplier widely used by industry-standard manufacturers,"commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers",reduce customers' risk of fire from the space heater
